customer_id,model_version,risk_score,anomaly_score,reconstruction_error,alert_recommendation,top_features
CUST001,aml-autoencoder-v0,0.08,0.04,0.04,no_alert,baseline_spend|regular_income
CUST002,aml-autoencoder-v0,0.21,0.13,0.13,monitor,business_vendor|domestic_wire
CUST003,aml-autoencoder-v0,0.66,0.84,0.82,alert,velocity_spike|new_counterparty_ratio|burst_activity
CUST004,aml-autoencoder-v0,0.39,0.38,0.43,monitor,new_counterparty_burst|business_wire
CUST005,aml-autoencoder-v0,0.60,0.59,0.58,alert,cross_border_concentration|us_counterparty
CUST006,aml-autoencoder-v0,0.73,0.75,0.76,alert,round_amount_structuring_style|cash_activity
CUST007,aml-autoencoder-v0,0.80,0.94,0.94,alert,high_reconstruction_error|network_concentration
CUST008,aml-autoencoder-v0,0.05,0.02,0.02,no_alert,baseline_spend
CUST009,aml-autoencoder-v0,0.32,0.31,0.31,monitor,network_concentration|counterparty_repeat
CUST010,aml-autoencoder-v0,0.11,0.07,0.07,no_alert,baseline_spend
CUST011,aml-autoencoder-v0,0.07,0.04,0.04,no_alert,regular_income|baseline_spend
CUST012,aml-autoencoder-v0,0.26,0.19,0.19,monitor,business_wire
CUST013,aml-autoencoder-v0,0.05,0.03,0.03,no_alert,baseline_spend
CUST014,aml-autoencoder-v0,0.48,0.42,0.42,monitor,cross_border
CUST015,aml-autoencoder-v0,0.09,0.05,0.05,no_alert,baseline_spend
CUST016,aml-autoencoder-v0,0.22,0.14,0.14,monitor,business_vendor
CUST017,aml-autoencoder-v0,0.07,0.04,0.04,no_alert,baseline_spend
CUST018,aml-autoencoder-v0,0.35,0.33,0.33,monitor,network_concentration|counterparty_repeat
CUST019,aml-autoencoder-v0,0.08,0.04,0.04,no_alert,baseline_spend
CUST020,aml-autoencoder-v0,0.62,0.63,0.63,alert,cross_border_concentration|network_concentration
