customer_id,txn_count_7d,txn_count_30d,total_amount_30d,avg_amount_30d,cross_border_ratio,new_counterparty_ratio,round_amount_ratio,counterparty_concentration_ratio,reconstruction_error,top_features
CUST001,1,4,487.75,121.94,0.00,0.25,0.00,0.50,0.04,baseline_spend|regular_income
CUST002,1,4,4370.00,1092.50,0.00,0.25,0.00,0.25,0.13,business_vendor|domestic_wire
CUST003,4,6,3082.30,513.72,0.00,0.67,0.00,0.17,0.82,velocity_spike|new_counterparty_ratio|burst_activity
CUST004,6,6,25420.00,4236.67,0.00,1.00,0.00,0.17,0.43,new_counterparty_burst|business_wire
CUST005,2,5,5205.00,1041.00,1.00,1.00,0.20,0.20,0.58,cross_border_concentration|us_counterparty
CUST006,4,5,47900.00,9580.00,0.00,1.00,1.00,0.20,0.76,round_amount_structuring_style|cash_activity
CUST007,2,4,27450.00,6862.50,0.50,0.75,0.25,0.50,0.94,high_reconstruction_error|network_concentration
CUST008,0,2,116.00,58.00,0.00,0.50,0.00,1.00,0.02,baseline_spend
CUST009,5,5,11500.00,2300.00,0.00,0.20,0.00,1.00,0.31,network_concentration|counterparty_repeat
CUST010,1,2,252.00,126.00,0.00,1.00,0.00,0.50,0.07,baseline_spend
CUST011,1,2,403.00,201.50,0.00,1.00,0.00,0.50,0.04,regular_income|baseline_spend
CUST012,1,2,6650.00,3325.00,0.00,1.00,0.00,0.50,0.19,business_wire
CUST013,1,2,141.00,70.50,0.00,1.00,0.00,0.50,0.03,baseline_spend
CUST014,1,2,5350.00,2675.00,1.00,1.00,0.00,0.50,0.42,cross_border
CUST015,1,2,249.00,124.50,0.00,1.00,0.00,0.50,0.05,baseline_spend
CUST016,1,2,10400.00,5200.00,0.00,1.00,0.00,0.50,0.14,business_vendor
CUST017,1,2,179.00,89.50,0.00,1.00,0.00,0.50,0.04,baseline_spend
CUST018,3,3,12050.00,4016.67,0.00,0.33,0.00,1.00,0.33,network_concentration|counterparty_repeat
CUST019,1,2,204.00,102.00,0.00,1.00,0.00,0.50,0.04,baseline_spend
CUST020,3,3,19700.00,6566.67,1.00,0.33,0.00,1.00,0.63,cross_border_concentration|network_concentration
